Date,"KOREA QUALITY Standard (Large+Mid Cap) Quality"
1998/11/30,1000
1998/12/31,1248.379
1999/01/29,1198.427
1999/02/26,1126.697
1999/03/31,1315.664
1999/04/30,1600.797
1999/05/31,1738.673
1999/06/30,2180.856
1999/07/30,2131.845
1999/08/31,2037.162
1999/09/30,1827.404
1999/10/29,1827.22
1999/11/30,2212.848
1999/12/31,1795.735
2000/01/31,1866.499
2000/02/29,1581.979
2000/03/31,1473.286
2000/04/28,1241.422
2000/05/31,1180.98
2000/06/30,1325.29
2000/07/31,1122.373
2000/08/31,1095.571
2000/09/29,997.741
2000/10/31,813.526
2000/11/30,805.95
2000/12/29,811.83
2001/01/31,1021.443
2001/02/28,946.56
2001/03/30,841.858
2001/04/30,956.514
2001/05/31,994.297
2001/06/29,938.946
2001/07/31,879.737
2001/08/31,904.589
2001/09/28,789.414
2001/10/31,894.271
2001/11/30,1048.745
2001/12/31,1139.391
2002/01/31,1188.317
2002/02/28,1308.797
2002/03/29,1468.855
2002/04/30,1398.08
2002/05/31,1337.528
2002/06/28,1266.33
2002/07/31,1194.65
2002/08/30,1215.995
2002/09/30,1111.613
2002/10/31,1134.596
2002/11/29,1256.087
2002/12/31,1096.596
2003/01/31,1020.605
2003/02/28,978.902
2003/03/31,939.641
2003/04/30,1032.698
2003/05/30,1093.042
2003/06/30,1158.705
2003/07/31,1247.75
2003/08/29,1285.728
2003/09/30,1196.858
2003/10/31,1353.791
2003/11/28,1370.11
2003/12/31,1424.239
2004/01/30,1486.783
2004/02/27,1533.086
2004/03/31,1523.405
2004/04/30,1443.152
2004/05/31,1349.796
2004/06/30,1354.841
2004/07/30,1282.811
2004/08/31,1371.008
2004/09/30,1411.758
2004/10/29,1390.812
2004/11/30,1481.563
2004/12/31,1498.5
2005/01/31,1536.389
2005/02/28,1638.612
2005/03/31,1564.743
2005/04/29,1480.586
2005/05/31,1565.859
2005/06/30,1609.809
2005/07/29,1763.398
2005/08/31,1755.659
2005/09/30,1941.645
2005/10/31,1828.432
2005/11/30,1972.479
2005/12/30,2031.49
2006/01/31,2109.174
2006/02/28,2095.414
2006/03/31,2088.822
2006/04/28,2162.274
2006/05/31,2030.733
2006/06/30,1989.599
2006/07/31,1973.828
2006/08/31,2051.014
2006/09/29,2113.686
2006/10/31,2139.444
2006/11/30,2293.191
2006/12/29,2301.259
2007/01/31,2208.655
2007/02/28,2278.973
2007/03/30,2342.286
2007/04/30,2466.555
2007/05/31,2677.813
2007/06/29,2680.375
2007/07/31,2948.09
2007/08/31,2994.281
2007/09/28,3179.521
2007/10/31,3312.056
2007/11/30,3143.381
2007/12/31,3108.537
2008/01/31,2698.048
2008/02/29,2806.962
2008/03/31,2811.75
2008/04/30,3003.014
2008/05/30,3151.011
2008/06/30,2840.213
2008/07/31,2708.102
2008/08/29,2446.809
2008/09/30,2473.705
2008/10/31,2003.016
2008/11/28,1922.271
2008/12/31,2005.446
2009/01/30,2065.369
2009/02/27,1897.85
2009/03/31,2126.067
2009/04/30,2360.832
2009/05/29,2397.892
2009/06/30,2415.883
2009/07/31,2709.113
2009/08/31,2727.938
2009/09/30,2894.488
2009/10/30,2741.015
2009/11/30,2763.771
2009/12/31,2952.744
2010/01/29,2780.128
2010/02/26,2765.463
2010/03/31,2895.514
2010/04/30,2966.839
2010/05/31,2829.548
2010/06/30,2955.667
2010/07/30,3117.928
2010/08/31,3184.694
2010/09/30,3394.985
2010/10/29,3372.065
2010/11/30,3439.091
2010/12/31,3718.576
2011/01/31,3733.991
2011/02/28,3515.255
2011/03/31,3872.608
2011/04/29,4045.626
2011/05/31,3964.341
2011/06/30,3890.485
2011/07/29,3858.994
2011/08/31,3441.548
2011/09/30,3315.394
2011/10/31,3541.371
2011/11/30,3450.535
2011/12/30,3379.253
2012/01/31,3577.861
2012/02/29,3763.226
2012/03/30,3763.927
2012/04/30,3735.067
2012/05/31,3470.528
2012/06/29,3448.064
2012/07/31,3557.317
2012/08/31,3548.328
2012/09/28,3682.023
2012/10/31,3433.206
2012/11/30,3489.129
2012/12/31,3530.734
2013/01/31,3406.481
2013/02/28,3550.849
2013/03/29,3483.918
2013/04/30,3308.567
2013/05/31,3451.495
2013/06/28,3316.358
2013/07/31,3414.203
2013/08/30,3518.742
2013/09/30,3648.365
2013/10/31,3719.823
2013/11/29,3787.673
2013/12/31,3645.23
2014/01/31,3491.268
2014/02/28,3579.76
2014/03/31,3634.766
2014/04/30,3557.634
2014/05/30,3655.112
2014/06/30,3643.191
2014/07/31,3758.19
2014/08/29,3658.571
2014/09/30,3468.152
2014/10/31,3375.879
2014/11/28,3458.182
2014/12/31,3325.512
2015/01/30,3415.121
2015/02/27,3377.696
2015/03/31,3518.643
2015/04/30,3612.643
2015/05/29,3491.462
2015/06/30,3377.236
2015/07/31,3340.806
2015/08/31,3193.303
2015/09/30,3351.178
2015/10/30,3596.425
2015/11/30,3548.41
2015/12/31,3546.337
2016/01/29,3403.755
2016/02/29,3328.093
2016/03/31,3486.497
2016/04/29,3481.751
2016/05/31,3535.163
2016/06/30,3591.076
2016/07/29,3575.542
2016/08/31,3683.877
2016/09/30,3718.618
2016/10/31,3620.233
2016/11/30,3550.138
2016/12/30,3596.679
2017/01/31,3652.893
2017/02/28,3662.201
2017/03/31,3779.214
2017/04/28,3873.431
2017/05/31,4132.319
2017/06/30,4132.131
2017/07/31,4134.225
2017/08/31,4061.494
2017/09/29,4142.831
2017/10/31,4470.374
2017/11/30,4336.688
2017/12/29,4401.272
2018/01/31,4534.367
2018/02/28,4289.281
2018/03/30,4332.452
2018/04/30,4329.238
2018/05/31,4104.889
2018/06/29,4018.373
2018/07/31,3976.245
2018/08/31,4004.691
2018/09/28,3921.093
2018/10/31,3474.116
2018/11/30,3595.901
2018/12/31,3409.826
2019/01/31,3773.9
2019/02/28,3744.187
2019/03/29,3726.751
2019/04/30,3817.7
2019/05/31,3469.507
2019/06/28,3659.686
2019/07/31,3612.588
2019/08/30,3545.709
2019/09/30,3743.982
2019/10/31,3823.482
2019/11/29,3785.908
2019/12/31,4087.186
2020/01/31,4052.094
2020/02/28,3867.02
2020/03/31,3564.152
2020/04/30,3808.707
2020/05/29,3910.32
2020/06/30,4135.214
2020/07/31,4368.156
2020/08/31,4382.761
2020/09/30,4407.831
2020/10/30,4320.115
2020/11/30,4834.925
2020/12/31,5429.968
2021/01/29,5628.005
2021/02/26,5608.344
2021/03/31,5678.75
2021/04/30,5573.711
2021/05/31,5618.589
2021/06/30,5741.085
2021/07/30,5501.02
2021/08/31,5465.046
2021/09/30,5174.649
2021/10/29,4964.801
2021/11/30,4897.593
2021/12/31,5146.987
2022/01/31,4678.66
2022/02/28,4644.046
2022/03/31,4584.603
2022/04/29,4457.767
2022/05/31,4469.327
2022/06/30,3896.303
2022/07/29,4139.044
2022/08/31,4062.871
2022/09/30,3589.223
2022/10/31,3812.045
2022/11/30,4027.272
